id_patron,id_type_relation,occurences
1,0,2
1,5,2
1,23,2
2,0,4
2,9,1
2,17,6
2,106,2
2,666,3
3,0,1
3,17,1
4,15,1
5,0,827
5,3,6
5,5,40
5,6,17
5,7,7
5,8,127
5,9,18
5,10,8
5,11,4
5,13,2
5,17,723
5,20,3
5,21,2
5,22,2
5,23,10
5,24,1
5,25,3
5,26,12
5,27,73
5,28,24
5,35,19
5,37,1
5,41,4
5,42,3
5,50,3
5,51,3
5,52,1
5,54,2
5,58,3
5,63,1
5,67,6
5,70,2
5,99,1
5,106,158
5,115,1
5,119,1
5,142,1
5,155,1
5,173,2
5,666,222
5,777,132
6,0,2
7,0,38
7,3,1
7,5,2
7,6,1
7,8,1
7,9,14
7,10,6
7,15,4
7,19,1
7,22,1
7,28,11
7,35,1
7,41,2
7,50,2
7,51,1
7,53,1
7,75,2
7,666,13
7,777,4
8,0,1054
8,3,47
8,5,112
8,6,61
8,8,251
8,9,144
8,10,195
8,11,7
8,13,3
8,15,106
8,16,8
8,17,51
8,20,43
8,21,31
8,22,6
8,23,5
8,25,3
8,27,83
8,28,90
8,31,1
8,32,3
8,35,112
8,41,17
8,42,101
8,49,6
8,50,53
8,51,36
8,52,1
8,53,6
8,54,11
8,56,1
8,64,1
8,67,4
8,68,2
8,73,2
8,75,1
8,76,1
8,78,2
8,80,8
8,82,1
8,84,2
8,99,1
8,106,17
8,115,1
8,120,1
8,121,3
8,122,4
8,129,7
8,141,2
8,142,10
8,153,1
8,156,3
8,163,6
8,172,1
8,173,5
8,174,52
8,666,344
8,777,181
9,0,1
9,777,2
10,0,1
10,17,1
10,777,1
11,0,184
11,3,5
11,5,2
11,8,31
11,9,5
11,10,15
11,15,13
11,17,11
11,20,1
11,22,1
11,27,19
11,35,1
11,41,2
11,42,6
11,51,1
11,54,1
11,64,134
11,78,1
11,115,5
11,171,2
11,666,9
11,777,104
12,0,1
13,0,1
14,0,1
14,10,1
14,51,1
15,0,2
16,0,1
16,6,1
16,9,1
17,0,8
17,17,1
18,0,41
18,5,4
18,6,3
18,8,21
18,9,4
18,10,16
18,13,1
18,15,10
18,16,1
18,20,1
18,21,2
18,22,6
18,25,1
18,27,13
18,28,2
18,35,4
18,42,3
18,51,4
18,54,7
18,80,1
18,129,6
18,666,17
18,777,7
19,10,1
20,0,1
20,6,1
20,666,1
21,0,1
21,6,1
21,8,1
21,10,1
21,27,1
21,51,1
21,666,1
22,0,1
22,8,1
22,27,1
22,666,1
23,17,2
24,0,7
24,17,7
24,106,3
24,666,2
25,0,2
25,8,1
25,106,1
25,666,1
26,0,1
27,0,1
27,8,1
27,51,1
28,0,1
28,17,1
28,777,1
29,0,1
29,777,1
30,0,1
31,0,1
31,777,1
32,0,1
33,777,1
34,777,2
35,0,1
35,777,1
36,0,1
37,0,1
37,15,1
37,171,1
37,666,1
38,0,1
38,17,1
39,0,1
39,9,1
40,0,1
41,0,5
41,10,1
41,15,2
41,666,1
41,777,3
42,0,1
43,0,1
43,5,1
43,8,1
44,0,1
44,5,1
45,777,1
46,777,3
47,0,1
47,8,1
47,27,1
47,666,1
48,0,1
49,0,1
49,8,1
49,51,1
50,23,1
51,17,1
52,0,120
52,5,14
52,6,6
52,8,46
52,9,17
52,10,5
52,13,1
52,14,1
52,15,3
52,17,32
52,19,1
52,20,1
52,21,1
52,23,2
52,27,9
52,28,6
52,35,4
52,41,1
52,42,3
52,50,3
52,51,4
52,55,1
52,67,2
52,71,1
52,78,2
52,106,4
52,141,3
52,142,1
52,170,1
52,666,44
52,777,21
53,0,1
53,3,1
53,6,1
53,15,1
53,35,1
54,0,211
54,3,8
54,5,22
54,6,7
54,8,73
54,9,26
54,10,40
54,11,1
54,13,3
54,15,16
54,16,27
54,17,4
54,20,10
54,21,4
54,23,2
54,27,11
54,28,6
54,35,24
54,41,1
54,42,21
54,50,10
54,51,7
54,54,6
54,74,1
54,80,27
54,106,3
54,174,8
54,666,92
54,777,23
55,0,1
55,15,1
55,777,1
56,0,23
56,3,2
56,5,1
56,6,1
56,8,5
56,9,1
56,10,4
56,15,3
56,17,3
56,20,3
56,21,1
56,28,5
56,35,3
56,41,2
56,42,4
56,50,3
56,106,2
56,174,1
56,666,10
56,777,3
57,0,99
57,3,11
57,5,1
57,6,7
57,8,16
57,9,25
57,10,9
57,15,3
57,16,1
57,17,7
57,21,16
57,27,1
57,28,3
57,30,1
57,31,1
57,35,4
57,41,3
57,42,9
57,49,1
57,50,19
57,70,2
57,73,3
57,75,6
57,80,3
57,666,35
57,777,18
58,0,1
58,777,1
59,0,1
59,6,1
60,0,1
60,3,1
60,35,1
60,174,1
61,0,1
61,8,1
61,27,1
61,666,1
62,0,1
62,6,1
62,8,1
62,10,1
62,27,1
62,51,1
62,666,1
63,0,1
63,777,1
64,0,11
64,5,1
64,8,2
64,9,1
64,17,14
64,28,3
64,35,1
64,58,1
64,67,1
64,106,2
64,666,1
65,0,1
65,8,1
65,15,1
66,777,1
67,777,1
68,777,1
69,17,1
70,0,158
70,5,15
70,6,2
70,7,1
70,8,31
70,9,2
70,10,2
70,11,1
70,17,99
70,20,1
70,21,1
70,23,2
70,25,1
70,26,1
70,27,13
70,28,2
70,35,5
70,41,1
70,51,1
70,54,1
70,106,78
70,666,82
70,777,6
71,0,1
71,17,1
71,106,1
71,666,1
72,0,1
73,17,1
74,0,37
74,3,2
74,5,8
74,8,10
74,10,6
74,15,2
74,17,3
74,20,1
74,23,1
74,27,2
74,28,6
74,32,1
74,35,2
74,41,2
74,142,2
74,666,8
74,777,3
75,0,1
75,5,1
76,0,11
76,5,6
76,6,1
76,7,1
76,10,1
76,17,4
76,20,2
76,23,1
76,106,1
76,777,12
77,0,1
77,6,1
77,23,1
78,0,1
78,17,1
78,26,1
79,0,34
79,5,2
79,6,1
79,8,3
79,9,9
79,10,1
79,15,3
79,17,1
79,23,1
79,27,1
79,28,2
79,35,1
79,50,9
79,51,1
79,70,1
79,75,1
79,106,3
79,666,10
79,777,5
80,0,1
80,10,1
80,15,1
80,666,1
81,0,3
81,8,1
81,27,1
81,28,1
82,0,81
82,3,1
82,5,17
82,6,6
82,8,1
82,9,3
82,17,51
82,20,2
82,21,3
82,23,135
82,28,6
82,32,2
82,35,14
82,42,1
82,52,1
82,99,1
82,141,4
82,666,7
82,777,6
83,0,5
83,17,4
83,666,1
84,0,6
85,0,1
85,9,1
86,0,1
86,5,1
86,8,1
86,9,1
86,20,1
86,35,1
86,666,1
87,0,1
87,8,1
87,9,1
87,27,1
87,42,1
87,64,1
87,115,1
87,777,1
88,666,1
89,666,1
90,0,3
90,17,2
90,106,3
90,666,1
91,24,1
92,0,2
92,10,1
92,15,2
92,777,4
93,0,17
93,5,1
93,6,1
93,8,13
93,9,1
93,10,3
93,17,5
93,20,1
93,27,7
93,28,1
93,42,1
93,50,1
93,51,2
93,67,1
93,78,1
93,141,3
93,666,9
93,777,1
94,666,1
94,777,2
95,23,1
96,17,1
96,106,1
97,0,1
97,6,1
97,10,1
97,35,1
97,666,1
98,0,1
99,0,1
99,5,1
100,777,1
101,0,6
101,7,1
101,17,6
101,35,1
101,666,1
101,777,1
102,0,1
102,3,1
102,35,1
103,0,1
104,0,1
104,8,1
105,0,1
105,3,1
105,35,1
106,0,1
107,0,1
107,3,1
107,35,1
108,0,1
108,3,1
109,0,1
109,41,1
110,17,1
111,0,1
111,3,1
111,35,1
112,0,2
112,6,1
112,17,1
112,35,2
112,666,1
113,0,1
114,0,1
115,0,1
116,0,14
116,17,6
116,27,1
116,28,1
116,170,1
116,666,1
116,777,11
117,0,1
117,9,1
117,666,1
118,17,1
119,0,47
119,3,5
119,5,1
119,6,5
119,8,6
119,9,8
119,10,3
119,15,2
119,21,1
119,23,1
119,28,6
119,32,1
119,35,3
119,50,14
119,51,2
119,58,1
119,75,2
119,82,1
119,666,21
119,777,10
120,9,1
120,50,1
120,106,1
120,777,1
121,0,2
121,10,1
121,42,1
121,54,1
122,0,1
122,9,1
122,666,1
123,0,1
124,17,1
125,0,1
125,9,1
125,666,1
126,17,1
127,0,7
127,8,2
127,17,8
127,27,1
127,28,1
127,106,2
127,666,3
128,0,1
128,17,1
129,777,1
130,0,32
130,3,1
130,5,1
130,6,1
130,8,5
130,17,57
