titre,Sauce,appos,PROPN,0.47043365240097046
Sauce,ingrédient,nmod,NOUN,0.5634844899177551
Sauce,four,nmod,NOUN,0.6918569207191467
four,fourchette,nmod,NOUN,0.6831614375114441
fourchette,casserole,acl,NOUN,0.623356282711029
four,étape,nmod,NOUN,0.6555838584899902
mettre,lait,obj,NOUN,0.6112686395645142
faire,le,obj,PRON,0.2819216251373291
lait,remuer,acl,VERB,0.6376726031303406
fois,fromage,nmod,NOUN,0.5650792717933655
fromage,fondre,acl,VERB,0.6491246819496155
incorporer,crème,obj,NOUN,0.6097753047943115
laisser,minute,obj,NOUN,0.42801687121391296
feu,doux,amod,ADJ,0.5496628284454346
prêt,sauce,nsubj,NOUN,0.6315041184425354
pouvoir,on,nsubj,PRON,0.21106140315532684
goût,maïs,nmod,NOUN,0.6430476903915405
accompagner,lui,nsubj,PRON,0.34770816564559937
accompagner,pâte,obj,NOUN,0.6397037506103516
pâte,viande,nmod,NOUN,0.7363446354866028
viande,rouge,amod,ADJ,0.6687027812004089
accompagner,bon,obj,NOUN,0.4248035252094269
