titre,Los,appos,X,0.16045783460140228
titre,spécialité,nmod,NOUN,0.39793747663497925
spécialité,Argentine,nmod,PROPN,0.3820456862449646
spécialité,ingrédient,nmod,NOUN,0.6172062158584595
noix,coco,nmod,ADV,0.5701965689659119
bicarbonate,levure,nmod,NOUN,0.561332106590271
sucre,poudre,nmod,NOUN,0.6670448184013367
poudre,beurre,amod,NOUN,0.6949014067649841
beurre,tendre,amod,ADJ,0.6567766666412354
jaune,oeuf,nmod,NOUN,0.5280547142028809
oeuf,citron,nmod,NOUN,0.6038509607315063
confiture,lait,nmod,NOUN,0.6145787835121155
lait,cuillère,nmod,NOUN,0.6296454668045044
cuillère,bois,nmod,NOUN,0.5910300612449646
cuillère,four,nmod,NOUN,0.7153509855270386
four,top,nmod,NOUN,0.5501777529716492
papier,meilleur,amod,ADJ,0.4798659384250641
top,papier,nmod,NOUN,0.40004199743270874
plaque,cuisson,nmod,NOUN,0.6722077131271362
spécialité,rouleau,obj,NOUN,0.49554774165153503
rouleau,pâtisserie,nmod,NOUN,0.510869026184082
rouleau,balance,nmod,NOUN,0.4615878164768219
balance,cuisine,nmod,NOUN,0.5991910099983215
balance,réfrigérateur,nmod,NOUN,0.5236407518386841
titre,table,nmod,NOUN,0.48597782850265503
table,induction,amod,NOUN,0.5181390047073364
mélanger,beurre,obj,NOUN,0.6754149198532104
ensemble,farine,nmod,NOUN,0.6502225399017334
bicarbonate,soude,nmod,NOUN,0.5184087157249451
ajouter,zeste,obj,NOUN,0.49978408217430115
zeste,citron,nmod,NOUN,0.5487085580825806
reposer,min,obj,NOUN,0.3357704281806946
four,190,nmod,NUM,0.46105748414993286
four,degré,nmod,NOUN,0.6147381663322449
four,c,nmod,NOUN,0.4225132167339325
plan,travail,nmod,NOUN,0.3663022816181183
étaler,pâte,obj,NOUN,0.6019123196601868
épaisseur,cm,nmod,NOUN,0.1551104187965393
biscuit,joli,amod,ADJ,0.5044592022895813
faire,biscuit,obj,NOUN,0.622948408126831
biscuit,rond,amod,ADJ,0.5327192544937134
placer,le,obj,PRON,0.2559448182582855
aller,il,nsubj,PRON,0.2161533087491989
pas,besoin,obj,NOUN,0.3673834800720215
mettre,papier,obj,NOUN,0.5190960764884949
coller,il,nsubj,PRON,0.22593875229358673
mettre,min,obj,NOUN,0.3505185842514038
devoir,biscuit,nsubj,NOUN,0.5389794111251831
rapide,cuisson,nsubj,NOUN,0.6360381841659546
fois,refroidir,acl,VERB,0.466064989566803
garnir,le,obj,PRON,0.30032971501350403
fois,garnir,acl,VERB,0.4835517406463623
tenir,tout,obj,ADV,0.4273785948753357
tout,rouler,acl,VERB,0.49745264649391174
rouler,tranche,obj,NOUN,0.4930915832519531
tranche,noix,nmod,NOUN,0.5696915984153748
appétit,Argentina,nmod,PROPN,0.36292457580566406
