café,frapper,acl,VERB,0.5351299047470093
frapper,café,advcl,NOUN,0.5351299047470093
café,glacé,amod,ADJ,0.5397520065307617
glacé,grec,obj,ADJ,0.35690534114837646
frapper,ingrédient,obj,NOUN,0.5379350781440735
ingrédient,sucre,appos,NOUN,0.7083083987236023
sucre,café,nmod,NOUN,0.6459575891494751
café,instantané,amod,ADJ,0.5054149031639099
sucre,eau,nmod,NOUN,0.6594484448432922
balance,cuisine,nmod,NOUN,0.5991910099983215
sucre,étape,nmod,NOUN,0.6472875475883484
mettre,café,obj,NOUN,0.5669700503349304
sucre,poudre,nmod,NOUN,0.6670448184013367
poudre,goût,nmod,NOUN,0.6418734192848206
présence,mousse,nmod,NOUN,0.4854861795902252
mousse,ferme,amod,ADJ,0.48432186245918274
verre,haut,amod,ADJ,0.46357232332229614
