salade,melon,flat:name,PROPN,0.6431654095649719
salade,ingrédient,nmod,NOUN,0.7127874493598938
salade,poivre,nmod,NOUN,0.7452256679534912
poivre,sel,nmod,NOUN,0.6705341935157776
sel,salade,nmod,NOUN,0.7604894042015076
sel,jambon,nmod,NOUN,0.7124707698822021
jambon,croire,acl,VERB,0.581739604473114
salade,jus,nmod,NOUN,0.6398736834526062
jus,citron,nmod,NOUN,0.5887953042984009
jus,huile,amod,NOUN,0.6240938901901245
jus,eau,nmod,NOUN,0.6284751892089844
jus,couteau,appos,NOUN,0.6055463552474976
couteau,bol,appos,NOUN,0.5557995438575745
bol,cuillère,nmod,NOUN,0.5572551488876343
cuillère,bois,nmod,NOUN,0.5910300612449646
cuillère,saladier,nmod,NOUN,0.6106023788452148
saladier,étape,nmod,NOUN,0.5214974880218506
jus,melon,nmod,NOUN,0.5914098024368286
couper,chair,obj,NOUN,0.5305777192115784
cube,petit,amod,ADJ,0.5087730884552002
couper,tranche,obj,NOUN,0.4768869876861572
tranche,jambon,nmod,NOUN,0.5780830979347229
tranche,croire,acl,VERB,0.44111672043800354
verser,jus,obj,NOUN,0.5870975852012634
verser,poivrer,advcl,VERB,0.5104562044143677
allonger,eau,obj,NOUN,0.54673171043396
eau,désirer,acl,ADJ,0.5484440326690674
ajouter,huile,obj,NOUN,0.5838896036148071
huile,olive,nmod,ADJ,0.577674388885498
émulsion,bel,amod,ADJ,0.38941076397895813
obtenir,émulsion,obj,NOUN,0.4530676007270813
incorporer,thym,obj,NOUN,0.5993643403053284
mettre,salade,obj,NOUN,0.6556519269943237
mettre,melon,obj,NOUN,0.5742785930633545
