titre,Cake,nmod,X,0.3483622670173645
Cake,chocolat,nmod,NOUN,0.4103187024593353
banane,vegan,appos,ADJ,0.5056130290031433
ingrédient,chocolat,nmod,NOUN,0.6857289671897888
ingrédient,noir,amod,ADJ,0.5502306818962097
sel,levure,nmod,NOUN,0.6924784183502197
ingrédient,sucre,nmod,NOUN,0.7083083987236023
sucre,canne,nmod,NOUN,0.6069387793540955
sucre,sucre,nmod,NOUN,0.6199788451194763
sucre,banane,amod,ADJ,0.6657387614250183
sucre,huile,amod,NOUN,0.7004923224449158
lait,coco,amod,ADV,0.5941302180290222
sucre,lait,nmod,NOUN,0.6437966823577881
cacao,soja,amod,ADP,0.5742784142494202
lait,cacao,nmod,NOUN,0.5778273344039917
sucre,grille,nmod,NOUN,0.7015109062194824
grille,pâtisserie,nmod,NOUN,0.5746439099311829
pâtisserie,four,nmod,NOUN,0.6954796314239502
four,saladier,nmod,NOUN,0.6991847157478333
saladier,fourchette,appos,NOUN,0.5964536666870117
saladier,cuillère,nmod,NOUN,0.6106023788452148
cuillère,bois,nmod,NOUN,0.5910300612449646
grille,casserole,acl:relcl,NOUN,0.6111499071121216
casserole,balance,obj,NOUN,0.5916885137557983
balance,cuisine,nmod,NOUN,0.5991910099983215
balance,étape,nmod,NOUN,0.41490834951400757
ajouter,sucre,obj,NOUN,0.6556426286697388
fondre,huile,obj,NOUN,0.6402124762535095
huile,coco,amod,ADV,0.6010280847549438
ajouter,huile,obj,NOUN,0.5838896036148071
huile,maïs,nmod,NOUN,0.6400242447853088
ajouter,cuillère,obj,NOUN,0.5465437173843384
cuillère,huile,nmod,NOUN,0.612982988357544
huile,végétal,amod,ADJ,0.625397801399231
verser,sachet,obj,NOUN,0.5517759919166565
sachet,poudre,nmod,NOUN,0.5792420506477356
lever,carré,obj,NOUN,0.4426023066043854
carré,chocolat,nmod,NOUN,0.5261498689651489
carré,fondre,acl,VERB,0.5301091074943542
lait,végétal,amod,ADJ,0.593098521232605
ajouter,mélanger,advcl,VERB,0.47648102045059204
ajouter,farine,obj,NOUN,0.6640971302986145
ajouter,poudre,obj,NOUN,0.5711148977279663
poudre,cacao,nmod,NOUN,0.5677515864372253
cuisson,200,nmod,NUM,0.4460897743701935
cuisson,degré,nmod,NOUN,0.5765243768692017
cuisson,c,nmod,NOUN,0.3374643921852112
cuisson,thermostat,appos,NOUN,0.6856973171234131
thermostat,7,nmod,NOUN,0.1227613016963005
