titre,Cake,appos,X,0.3483622670173645
Cake,moelleux,amod,ADJ,0.38822102546691895
Cake,noix,nmod,NOUN,0.4873150587081909
noix,ingrédient,nmod,NOUN,0.6215821504592896
noix,coco,nmod,ADV,0.5701965689659119
Cake,sucre,acl,NOUN,0.521261990070343
sucre,levure,nmod,NOUN,0.6511401534080505
levure,beurre,acl,NOUN,0.6823499798774719
beurre,oeuf,nmod,NOUN,0.6205570101737976
oeuf,lait,nmod,NOUN,0.590930700302124
lait,arôme,nmod,NOUN,0.6057977080345154
sucre,coco,amod,ADJ,0.6447168588638306
grille,pâtisserie,nmod,NOUN,0.5746439099311829
pâtisserie,four,nmod,NOUN,0.6954796314239502
four,moule,nmod,NOUN,0.6459261178970337
fouet,cake,nmod,ADV,0.5783953666687012
grille,fouet,nmod,NOUN,0.5462092161178589
fouet,cuisine,nmod,NOUN,0.6215970516204834
cuisine,saladier,nmod,NOUN,0.6925616264343262
fouet,Spatule,nmod,PROPN,0.45566368103027344
balance,cuisine,nmod,NOUN,0.5991910099983215
sucre,étape,nmod,NOUN,0.6472875475883484
four,160,nmod,NUM,0.4906061589717865
Cake,degré,nmod,NOUN,0.38030967116355896
Cake,c,nmod,NOUN,0.27077072858810425
moule,cake,nmod,NOUN,0.5423397421836853
batteur,beurre,nmod,NOUN,0.627922534942627
fouetter,obtenir,advcl,VERB,0.40887880325317383
obtenir,mélange,obj,NOUN,0.4783641993999481
mélange,clair,amod,ADJ,0.46291205286979675
ajouter,oeuf,obj,NOUN,0.5327831506729126
oeuf,entier,amod,ADJ,0.513298749923706
un,fouetter,acl,VERB,0.2707058787345886
fouetter,cesse,nmod,NOUN,0.4037596583366394
ajouter,vanille,obj,NOUN,0.5857986211776733
ajouter,arôme,obj,NOUN,0.5423355102539062
arôme,noix,amod,ADV,0.6130573749542236
arôme,coco,nmod,ADV,0.6034432053565979
incorporer,farine,obj,NOUN,0.6484122276306152
farine,délicatement,amod,ADV,0.6767427325248718
farine,spatule,nmod,NOUN,0.6360625624656677
ajouter,gramme,obj,NOUN,0.4576520025730133
gramme,noix,nmod,NOUN,0.5864683389663696
blanc,monter,acl,VERB,0.5055097341537476
pincée,sel,nmod,NOUN,0.6588193774223328
verser,tout,obj,NOUN,0.5228472352027893
tout,moule,nmod,NOUN,0.5652627348899841
gramme,coco,nmod,ADV,0.5743866562843323
gramme,restant,nmod,ADJ,0.45761585235595703
heure,160,nmod,NUM,0.27460533380508423
servir,tiède,obj,ADJ,0.5895378589630127
crème,anglais,amod,ADJ,0.570907711982727
crème,vanille,nmod,NOUN,0.6160483956336975
