fromage,râpé,amod,ADV,0.5681582093238831
eau,thé,appos,NOUN,0.6344922780990601
thé,farine,nmod,NOUN,0.6560953855514526
bol,cuillère,nmod,NOUN,0.5572551488876343
cuillère,bois,nmod,NOUN,0.5910300612449646
cuillère,saladier,nmod,NOUN,0.6106023788452148
balance,cuisine,nmod,NOUN,0.5991910099983215
balance,étape,nmod,NOUN,0.41490834951400757
prendre,bol,obj,NOUN,0.523564875125885
bol,plastique,nmod,NOUN,0.5446711182594299
verser,y,iobj,PRON,0.2259806990623474
verser,eau,obj,NOUN,0.5738218426704407
ajouter,sucre,obj,NOUN,0.6556426286697388
mélanger,tout,obj,NOUN,0.528428852558136
ajouter,farine,obj,NOUN,0.6640971302986145
verser,mélanger,nsubj,VERB,0.4985589385032654
masser,pâte,obj,NOUN,0.5870802998542786
devenir,lui,nsubj,PRON,0.3516305387020111
ce,devenir,acl:relcl,VERB,0.25250178575515747
verser,huile,obj,NOUN,0.6115446090698242
faite,boule,obj,NOUN,0.514837384223938
chaud,huile,nsubj,NOUN,0.6474975347518921
prendre,boule,obj,NOUN,0.5059245824813843
dorer,lui,nsubj:pass,PRON,0.5067495107650757
ce,dorer,acl:relcl,VERB,0.3856687545776367
désirer,vous,nsubj,PRON,0.3062639832496643
désirer,le,obj,PRON,0.23691897094249725
ajouter,désirer,advcl,PROPN,0.4061644375324249
