filename,head,lemma,raw_relation,raw_score,new_relation,new_score,difference
Vrai planteur martiniquais_merged.csv,sucre,roux,r_associated,178.0,r_carac,174.0,-4.0
Queues de langouste à l_américaine façon grand chef_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
Terrine médiévale de Messire Lolek_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
Soupe thaïlandaise aux crevettes (Tom Yam Goong)_merged.csv,eau,bouillon,r_associated,26.0,r_holo,26.0,0.0
Apéritif vin d_orange_merged.csv,couper,fruit,r_agent,30.0,r_instr,30.0,0.0
Chop suey (poulet ou porc)_merged.csv,eau,bouillon,r_associated,26.0,r_holo,26.0,0.0
Bavette cuite au four et aux oignons_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
Poulet Massala_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Riz à l_indienne_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Ambassadeur_merged.csv,couleur,crème,r_associated,63.0,r_hypo,63.0,0.0
Pizza aux légumes_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
Quatre-quarts au chocolat_merged.csv,cake,four,r_associated,33.0,r_lieu,32.0,-1.0
Salade thaïlandaise légère_merged.csv,ingrédient,sauce,r_associated,28.0,r_holo,28.0,0.0
Crumble aux fruits sans farine et sans beurre_merged.csv,couper,fruit,r_agent,30.0,r_instr,30.0,0.0
Filet de taureau Camargue à la sarriette_merged.csv,sel,fin,r_associated,62.0,r_carac,60.0,-2.0
Gâteau de gaufres au sirop_merged.csv,sucre,roux,r_associated,178.0,r_carac,174.0,-4.0
L_embuscade_merged.csv,sirop,citron,r_associated,117.0,r_hypo,112.0,-5.0
Napolitain facile_merged.csv,cacao,poudre,r_associated,104.0,r_hypo,101.0,-3.0
Tarte aux prunes à ma façon_merged.csv,sucre,roux,r_associated,178.0,r_carac,174.0,-4.0
Quiche aux blettes_merged.csv,œuf,crème,r_associated,30.0,r_similar,29.0,-1.0
Salade chaude aux gésiers_merged.csv,salade,vert,r_associated,30.0,r_carac,30.0,0.0
Tiramisu (recette originale)_merged.csv,sucre,roux,r_associated,178.0,r_carac,174.0,-4.0
Galiflette à l_Andouille par une Bretonne_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
Galiflette à l_Andouille par une Bretonne_merged.csv,salade,vert,r_associated,30.0,r_carac,30.0,0.0
"Pommes de terre ultra croustillantes au fromage de brebis, chips de chorizo et olives_merged.csv",sel,fin,r_associated,62.0,r_carac,60.0,-2.0
Blondie au thé matcha et chocolat blanc_merged.csv,sucre,roux,r_associated,178.0,r_carac,174.0,-4.0
Rosbif aux oignons et pommes de terre au paprika_merged.csv,oignon,blanc,r_associated,29.0,r_carac,29.0,0.0
Seffa aux cheveux d_anges_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Lasagnes italiennes maison_merged.csv,lait,parmesan,r_domain-1,29.0,r_hypo,28.0,-1.0
Lasagnes italiennes maison_merged.csv,moitié,deuxième,r_associated,31.0,r_carac,31.0,0.0
Pain de chien (pudding)_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Banana Bread 100_ antigaspi_merged.csv,chair,banane,r_associated,28.0,r_holo,28.0,0.0
Cake au citron et sirop d_érable_merged.csv,cake,four,r_associated,33.0,r_lieu,32.0,-1.0
Choux farcis par Laurent Mariotte_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
Berawecka_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Berawecka_merged.csv,couper,fruit,r_agent,30.0,r_instr,30.0,0.0
Pâtes aux coques et palourdes_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
Baeckeoffe_merged.csv,poser,couvercle,r_patient,30.0,r_instr,29.0,-1.0
Riz au lait crémeux_merged.csv,sucre,roux,r_associated,178.0,r_carac,174.0,-4.0
salade verte améliorée_merged.csv,salade,vert,r_associated,30.0,r_carac,30.0,0.0
Cookies à l_okara d_avoine & éclats de peaux de banane caramélisées_merged.csv,chair,banane,r_associated,28.0,r_holo,28.0,0.0
Cuisson des coques_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
Crêpes de chandeleur_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
"Poulet et légumes, sauce curry-tandoori et lait de coco_merged.csv",raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
pommes rôties sur canapés_merged.csv,sucre,roux,r_associated,178.0,r_carac,174.0,-4.0
Gésiers confits de canard_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
Basse côte grillée et sauce tartare de Laurent Mariotte_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
Carbonara traditionnelle_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
Spaghetti carbonara_merged.csv,fromage,parmesan,r_associated,122.0,r_hypo,118.0,-4.0
Courge butternut farcie par Laurent Mariotte_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
Chop Suey de poulet_merged.csv,oignon,blanc,r_associated,29.0,r_carac,29.0,0.0
