filename,head,lemma,raw_relation,raw_score,new_relation,new_score,difference
Koutia_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Quarkkäulchen_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Poke _plat__merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Aïoli_merged.csv,sauce,ail,r_associated,37.0,r_has_part,36.0,-1.0
Zuppa toscana_merged.csv,oignon,blanc,r_associated,29.0,r_carac,29.0,0.0
Hujiao bing_merged.csv,protéine,viande,r_associated,612.27,r_holo,607.35,-4.919999999999959
Poulpe à la galicienne_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
Sii_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Éclair _pâtisserie__merged.csv,sucre,roux,r_associated,178.0,r_carac,174.0,-4.0
Fromage tcherkesse_merged.csv,fromage,pâte,r_associated,33.0,r_has_part,32.0,-1.0
Fromage tcherkesse_merged.csv,sel,fin,r_associated,62.0,r_carac,60.0,-2.0
Fromage tcherkesse_merged.csv,couleur,crème,r_associated,63.0,r_hypo,63.0,0.0
Fromage tcherkesse_merged.csv,salade,vert,r_associated,30.0,r_carac,30.0,0.0
Pain à la cardamome_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Porchetta_merged.csv,sel,gros,r_associated,60.0,r_carac,60.0,0.0
Pastırma_merged.csv,charcuterie,viande,r_syn,99.0,r_isa,98.0,-1.0
Ochazuke_merged.csv,saumon,grillé,r_associated,27.0,r_carac,26.0,-1.0
Welsh_merged.csv,ingrédient,sauce,r_associated,28.0,r_holo,28.0,0.0
Doré de Lathuy_merged.csv,couleur,safran,r_associated,36.0,r_hypo,36.0,0.0
Beyaz peynir_merged.csv,fromage,pâte,r_associated,33.0,r_has_part,32.0,-1.0
Curry antillais aux bananes_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Babka_merged.csv,gâteau,célébration,r_associated,28.0,r_holo,27.0,-1.0
Babka_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Mazanec_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Pain carélien_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Paillasson de l_Isle d_Orléans_merged.csv,fromage,pâte,r_associated,33.0,r_has_part,32.0,-1.0
Christmas pudding_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Tarte à masteilles_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Somlói galuska_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Focaccia au fromage_merged.csv,fromage,pâte,r_associated,33.0,r_has_part,32.0,-1.0
Tahlia_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Pikauba _fromage__merged.csv,fromage,pâte,r_associated,33.0,r_has_part,32.0,-1.0
Pièce montée_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Sauce Mornay_merged.csv,fromage,pâte,r_associated,33.0,r_has_part,32.0,-1.0
Kue lapis_merged.csv,mélanger,couleur,r_associated,27.0,r_instr,27.0,0.0
Smoothie_merged.csv,produit,lait,r_carac-1,26.0,r_hypo,25.0,-1.0
Épinards à la catalane_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Apfelstrudel_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Torta pinza_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Soupe aux œufs_merged.csv,soupe,consommé,r_associated,68.0,r_hypo,66.0,-2.0
Couscous aux œufs et aux amandes_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Cacciucco_merged.csv,sud,mer,r_associated,109.0,r_lieu,108.0,-1.0
Toast au lait_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Patatas bravas_merged.csv,ingrédient,sauce,r_associated,28.0,r_holo,28.0,0.0
Suisse _viennoiserie__merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Lane cake_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Tamal_merged.csv,plante,maïs,r_associated,53.0,r_hypo,53.0,0.0
Tamal_merged.csv,personnage,grand,r_syn,73.0,r_carac,70.0,-3.0
Fromage d_Ayrshire_merged.csv,fromage,pâte,r_associated,33.0,r_has_part,32.0,-1.0
Poutine à trou_merged.csv,raisin,sec,r_associated,62.0,r_carac,60.0,-2.0
Caramel écossais_merged.csv,sucre,roux,r_associated,178.0,r_carac,174.0,-4.0
