head,lemma,dep,pos,sim,relations
titre,boule,nmod,NOUN,0.5079678297042847,[]
forme,traditionnel,amod,ADJ,0.4914898872375488,[]
forme,pain,nmod,NOUN,0.6652709245681763,[]
pain,France,nmod,PROPN,0.6226463317871094,"[{""id"": 82409, ""node1"": 61283, ""node2"": 87987, ""type"": 0, ""w"": 60.0}, {""id"": 496723181, ""node1"": 61283, ""node2"": 87987, ""type"": 3, ""w"": 30.0}, {""id"": 521806524, ""node1"": 61283, ""node2"": 87987, ""type"": 15, ""w"": 32.0}]"
ressembler,pain,nsubj,NOUN,0.6449461579322815,[]
pain,forme,nmod,NOUN,0.6652709245681763,"[{""id"": 417695750, ""node1"": 61283, ""node2"": 142000, ""type"": 0, ""w"": 14.0}]"
pain,rustique,amod,ADJ,0.6668171882629395,[]
forme,pouvoir,acl:relcl,VERB,0.4397352635860443,[]
type,farine,nmod,NOUN,0.6399734616279602,"[{""id"": 54702298, ""node1"": 15235, ""node2"": 127629, ""type"": 0, ""w"": 21.0}, {""id"": 54653044, ""node1"": 15235, ""node2"": 127629, ""type"": 5, ""w"": -49.0}]"
type,levure,nmod,NOUN,0.5617228746414185,[]
pain,allongé,amod,ADJ,0.630786657333374,"[{""id"": 372584505, ""node1"": 61283, ""node2"": 67420, ""type"": 17, ""w"": 26.0}]"
avoir,boule,nsubj,NOUN,0.4893179535865783,[]
avoir,poids,obj,NOUN,0.4098712503910064,[]
type,boule,nsubj,NOUN,0.517367959022522,"[{""id"": 393762183, ""node1"": 15235, ""node2"": 141883, ""type"": 23, ""w"": 26.0}]"
boule,dire,acl,VERB,0.534453272819519,[]
boule,pouvoir,acl:relcl,VERB,0.4869072735309601,[]
façon,artisanal,amod,ADJ,0.5142441987991333,"[{""id"": 4779209, ""node1"": 81363, ""node2"": 119946, ""type"": 777, ""w"": 10.0}]"
four,chauffer,acl,VERB,0.689752995967865,"[{""id"": 415002634, ""node1"": 9190, ""node2"": 90994, ""type"": 0, ""w"": 27.0}, {""id"": 14842931, ""node1"": 9190, ""node2"": 90994, ""type"": 24, ""w"": 40.0}, {""id"": 1558051, ""node1"": 9190, ""node2"": 90994, ""type"": 25, ""w"": 60.0}, {""id"": 225555, ""node1"": 9190, ""node2"": 90994, ""type"": 30, ""w"": 140.0}, {""id"": 1013894206, ""node1"": 9190, ""node2"": 90994, ""type"": 666, ""w"": 2.0}]"
type,pain,nmod,NOUN,0.63983154296875,[]
type,apprécier,acl,VERB,0.4480711817741394,"[{""id"": 14842601, ""node1"": 15235, ""node2"": 63449, ""type"": 24, ""w"": 30.0}]"
baguette,classique,amod,ADJ,0.5502088069915771,[]
type,reprendre,acl,VERB,0.4459575116634369,[]
reprendre,recette,obj,NOUN,0.6154425740242004,[]
recette,pain,nmod,NOUN,0.7237071394920349,[]
pain,père,nmod,NOUN,0.5937270522117615,[]
confectionner,boulanger,nsubj,NOUN,0.521359920501709,[]
confectionner,boule,obj,NOUN,0.5284943580627441,[]
boule,mie,nmod,NOUN,0.5337899327278137,[]
mie,gris,amod,ADJ,0.5088010430335999,[]
feu,bois,nmod,NOUN,0.5684539079666138,"[{""id"": 67934, ""node1"": 143703, ""node2"": 96256, ""type"": 0, ""w"": 442.0}, {""id"": 256687, ""node1"": 143703, ""node2"": 96256, ""type"": 15, ""w"": 98.0}, {""id"": 653706022, ""node1"": 143703, ""node2"": 96256, ""type"": 666, ""w"": 2.0}]"
pain,ce,nsubj,PRON,0.4451431930065155,[]
pain,réaliser,acl,VERB,0.6612758040428162,[]
