id,prefixe,type_entite1,infixe,type_entite2,suffixe,expression_complete
35,faire culinaire en,NOUN,,ADJ,,"faire culinaire en [NOUN]  [ADJ] "
36,,NOUN,alsacien doux,NOUN,de hot," [NOUN] alsacien doux [NOUN] de hot"
37,,NOUN,de,PROPN,garni," [NOUN] de [PROPN] garni"
38,,NOUN,,ADJ,à peine frémissant," [NOUN]  [ADJ] à peine frémissant"
39,en,NOUN,de,NOUN,de terre,en [NOUN] de [NOUN] de terre
40,en salade de,NOUN,de,NOUN,,"en salade de [NOUN] de [NOUN] "
41,de,NOUN,de,PROPN,,"de [NOUN] de [PROPN] "
42,,NOUN,agroalimentaire de grand,NOUN,," [NOUN] agroalimentaire de grand [NOUN] "
43,fédération régional de,NOUN,,ADJ,traiteur de Alsace,fédération régional de [NOUN]  [ADJ] traiteur de Alsace
44,régional de boucher,ADJ,,ADJ,de Alsace,régional de boucher [ADJ]  [ADJ] de Alsace
45,avec 6000tonne de,NOUN,de,PROPN,sur,avec 6000tonne de [NOUN] de [PROPN] sur
46,,NOUN,de,PROPN,se," [NOUN] de [PROPN] se"
47,apport de,NOUN,de,NOUN,,"apport de [NOUN] de [NOUN] "
48,,NOUN,naturel au,NOUN,de hêtre," [NOUN] naturel au [NOUN] de hêtre"
49,fumage naturel au,NOUN,de,NOUN,,"fumage naturel au [NOUN] de [NOUN] "
50,,ADJ,,NOUN,fumé," [ADJ]  [NOUN] fumé"
51,délicat,NOUN,,ADJ,,"délicat [NOUN]  [ADJ] "
52,,NOUN,,NOUN,," [NOUN]  [NOUN] "
53,,NOUN,classique de le,NOUN,français," [NOUN] classique de le [NOUN] français"
54,de,NOUN,de,NOUN,,"de [NOUN] de [NOUN] "
55,légitimation de,NOUN,en,PROPN,,"légitimation de [NOUN] en [PROPN] "
56,,NOUN,de,NOUN,à," [NOUN] de [NOUN] à"
57,,NOUN,au,NOUN,," [NOUN] au [NOUN] "
58,souvent avec de,NOUN,de,NOUN,,"souvent avec de [NOUN] de [NOUN] "
59,,NOUN,,NOUN,sécher," [NOUN]  [NOUN] sécher"
60,de fin,NOUN,de,NOUN,,"de fin [NOUN] de [NOUN] "
61,fin tranche de,NOUN,,NOUN,,"fin tranche de [NOUN]  [NOUN] "
62,fin tranche de,NOUN,bœuf,NOUN,,"fin tranche de [NOUN] bœuf [NOUN] "
63,nabe au,NOUN,de,NOUN,,"nabe au [NOUN] de [NOUN] "
64,,NOUN,,ADJ,à," [NOUN]  [ADJ] à"
65,en forme de,NOUN,,NOUN,,"en forme de [NOUN]  [NOUN] "
66,apparenter à,NOUN,,ADJ,,"apparenter à [NOUN]  [ADJ] "
67,à,ADJ,,ADJ,,"à [ADJ]  [ADJ] "
68,,NOUN,de,NOUN,azyme fourré de," [NOUN] de [NOUN] azyme fourré de"
69,,NOUN,,ADJ,en Occident comme," [NOUN]  [ADJ] en Occident comme"
70,de,NOUN,,ADJ,,"de [NOUN]  [ADJ] "
71,farce de,NOUN,,ADJ,,"farce de [NOUN]  [ADJ] "
72,de,NOUN,de un,NOUN,noble biélorusse de,de [NOUN] de un [NOUN] noble biélorusse de
73,,NOUN,,ADJ,biélorusse de Lahojsk," [NOUN]  [ADJ] biélorusse de Lahojsk"
74,,NOUN,de,NOUN,de," [NOUN] de [NOUN] de"
75,,NOUN,de le,NOUN,public," [NOUN] de le [NOUN] public"
76,,ADJ,,ADJ,," [ADJ]  [ADJ] "
77,plus,ADJ,,NOUN,de restaurant,plus [ADJ]  [NOUN] de restaurant
78,,NOUN,bien,ADJ,," [NOUN] bien [ADJ] "
79,,NOUN,à le,NOUN,," [NOUN] à le [NOUN] "
80,farce de,NOUN,de,NOUN,bouilli,farce de [NOUN] de [NOUN] bouilli
81,,NOUN,,ADJ,sou," [NOUN]  [ADJ] sou"
82,,ADJ,,NOUN,," [ADJ]  [NOUN] "
83,parfois de,NOUN,,ADJ,,"parfois de [NOUN]  [ADJ] "
84,purée de,NOUN,de,NOUN,,"purée de [NOUN] de [NOUN] "
85,napper de,NOUN,de,NOUN,,"napper de [NOUN] de [NOUN] "
86,,NOUN,,NOUN,de bœuf," [NOUN]  [NOUN] de bœuf"
87,grand,NOUN,,PROPN,,"grand [NOUN]  [PROPN] "
88,il exister de,ADJ,,NOUN,,"il exister de [ADJ]  [NOUN] "
89,assaisonner avec de,NOUN,,NOUN,de piment rouge,assaisonner avec de [NOUN]  [NOUN] de piment rouge
90,pâte de,NOUN,,ADJ,,"pâte de [NOUN]  [ADJ] "
91,,NOUN,de mer,ADJ,," [NOUN] de mer [ADJ] "
92,,PROPN,en,PROPN,," [PROPN] en [PROPN] "
93,de,NOUN,,NOUN,,"de [NOUN]  [NOUN] "
94,de,PROPN,,PROPN,,"de [PROPN]  [PROPN] "
95,seul,NOUN,de un,NOUN,hindou,seul [NOUN] de un [NOUN] hindou
96,,NOUN,,ADJ,à long grain," [NOUN]  [ADJ] à long grain"
97,de,NOUN,un,NOUN,aigre de aubergine,de [NOUN] un [NOUN] aigre de aubergine
98,plat aigre de,NOUN,,NOUN,,"plat aigre de [NOUN]  [NOUN] "
99,ancien,NOUN,tenue,ADJ,qui,ancien [NOUN] tenue [ADJ] qui
100,casa fuente à,PROPN,,PROPN,,"casa fuente à [PROPN]  [PROPN] "
101,en,NOUN,,ADJ,,"en [NOUN]  [ADJ] "
102,,NOUN,de,NOUN,en fer," [NOUN] de [NOUN] en fer"
103,,NOUN,de,NOUN,rond," [NOUN] de [NOUN] rond"
104,contenant de,NOUN,,ADJ,,"contenant de [NOUN]  [ADJ] "
105,pour contenir de,NOUN,de,NOUN,incandescent,pour contenir de [NOUN] de [NOUN] incandescent
106,,NOUN,plus,ADJ,comme," [NOUN] plus [ADJ] comme"
107,en popularité au,NOUN,de,NOUN,,"en popularité au [NOUN] de [NOUN] "
108,plus grand,NOUN,de son,NOUN,,"plus grand [NOUN] de son [NOUN] "
109,,NOUN,de,NOUN,de gare ferroviaire," [NOUN] de [NOUN] de gare ferroviaire"
110,de attente de,NOUN,,ADJ,,"de attente de [NOUN]  [ADJ] "
111,il devenir au,NOUN,de,NOUN,,"il devenir au [NOUN] de [NOUN] "
112,être généralement de,ADJ,,NOUN,,"être généralement de [ADJ]  [NOUN] "
113,,NOUN,de,NOUN,"shichirin 
 secondairement"," [NOUN] de [NOUN] shichirin 
 secondairement"
114,,NOUN,de,NOUN,teppanyaki," [NOUN] de [NOUN] teppanyaki"
115,restaurant en,ADJ,,NOUN,typique de,restaurant en [ADJ]  [NOUN] typique de
116,,PROPN,,ADJ,," [PROPN]  [ADJ] "
117,,PROPN,italien,NOUN,de Tessin," [PROPN] italien [NOUN] de Tessin"
118,grotto au,NOUN,,ADJ,,"grotto au [NOUN]  [ADJ] "
119,,NOUN,en,NOUN,," [NOUN] en [NOUN] "
120,simple,NOUN,traditionnel en,NOUN,,"simple [NOUN] traditionnel en [NOUN] "
121,,NOUN,de vieux,NOUN,," [NOUN] de vieux [NOUN] "
122,,NOUN,local à,NOUN,dur," [NOUN] local à [NOUN] dur"
123,,NOUN,de,NOUN,rissoler," [NOUN] de [NOUN] rissoler"
124,,NOUN,,ADJ,tessinoi pour," [NOUN]  [ADJ] tessinoi pour"
125,simple,NOUN,sans,NOUN,,"simple [NOUN] sans [NOUN] "
126,jour de,NOUN,,ADJ,,"jour de [NOUN]  [ADJ] "
127,,NOUN,,ADJ,comme," [NOUN]  [ADJ] comme"
128,,NOUN,bolivien,ADJ,," [NOUN] bolivien [ADJ] "
129,,PROPN,le,NOUN,national bolivien," [PROPN] le [NOUN] national bolivien"
130,,NOUN,,ADJ,de," [NOUN]  [ADJ] de"
131,,ADJ,,NOUN,de boisson," [ADJ]  [NOUN] de boisson"
132,un de deux,NOUN,phare de le,NOUN,de kurashiki,un de deux [NOUN] phare de le [NOUN] de kurashiki
133,de pâte de,NOUN,,ADJ,sucrer,de pâte de [NOUN]  [ADJ] sucrer
134,signifier viand en,ADJ,,NOUN,,"signifier viand en [ADJ]  [NOUN] "
135,se agir de,NOUN,de,NOUN,de poule,se agir de [NOUN] de [NOUN] de poule
136,de morceau de,NOUN,de,NOUN,,"de morceau de [NOUN] de [NOUN] "
