id,prefixe,type_entite1,infixe,type_entite2,suffixe,expression_complete
1926,,ADJ,,NOUN,de chocolat," [ADJ]  [NOUN] de chocolat"
1927,petit,NOUN,de,NOUN,,"petit [NOUN] de [NOUN] "
1928,,NOUN,à,NOUN,frite souvent," [NOUN] à [NOUN] frite souvent"
1929,soir de,ADJ,,NOUN,,"soir de [ADJ]  [NOUN] "
1930,période de,NOUN,de,NOUN,,"période de [NOUN] de [NOUN] "
1931,,NOUN,tikka,PROPN,," [NOUN] tikka [PROPN] "
1932,plat composer de,NOUN,de,NOUN,,"plat composer de [NOUN] de [NOUN] "
1933,,NOUN,de différents,NOUN,," [NOUN] de différents [NOUN] "
1934,,NOUN,,ADJ,en Occident," [NOUN]  [ADJ] en Occident"
1935,,NOUN,,ADJ,Robin Cook le," [NOUN]  [ADJ] Robin Cook le"
1936,,NOUN,politique,PROPN,Cook le," [NOUN] politique [PROPN] Cook le"
1937,masala être de,NOUN,tikka un,NOUN,de poulet mariner,masala être de [NOUN] tikka un [NOUN] de poulet mariner
1938,,NOUN,de,NOUN,mariner dans," [NOUN] de [NOUN] mariner dans"
1939,sauce de,NOUN,,NOUN,de épice,sauce de [NOUN]  [NOUN] de épice
1940,,NOUN,de,NOUN,1960," [NOUN] de [NOUN] 1960"
1941,demander plus de,NOUN,,NOUN,de viande souvent,demander plus de [NOUN]  [NOUN] de viande souvent
1942,,NOUN,de,NOUN,souvent," [NOUN] de [NOUN] souvent"
1943,masala venir de,PROPN,,ADJ,,"masala venir de [PROPN]  [ADJ] "
1944,,NOUN,local pour le,NOUN,de colonisateur," [NOUN] local pour le [NOUN] de colonisateur"
1945,,NOUN,de 77,NOUN,," [NOUN] de 77 [NOUN] "
1946,,NOUN,de,NOUN,britannique," [NOUN] de [NOUN] britannique"
1947,à partir de,NOUN,de,NOUN,chiche,à partir de [NOUN] de [NOUN] chiche
1948,souvent agrémenter de,NOUN,de,NOUN,,"souvent agrémenter de [NOUN] de [NOUN] "
1949,,NOUN,,ADJ,de jour de," [NOUN]  [ADJ] de jour de"
1950,,NOUN,de,NOUN,de origine animal," [NOUN] de [NOUN] de origine animal"
1951,consommation de,NOUN,de,NOUN,animal,consommation de [NOUN] de [NOUN] animal
1952,,NOUN,,ADJ,éthiopien," [NOUN]  [ADJ] éthiopien"
1953,meilleur,NOUN,de son,NOUN,natal,meilleur [NOUN] de son [NOUN] natal
1954,,NOUN,Marie,NOUN,de Louis xv," [NOUN] Marie [NOUN] de Louis xv"
1955,excellent,NOUN,à le,NOUN,,"excellent [NOUN] à le [NOUN] "
1956,non à,NOUN,de,NOUN,,"non à [NOUN] de [NOUN] "
1957,,NOUN,,ADJ,de oignon," [NOUN]  [ADJ] de oignon"
1958,ci partir en,NOUN,avec le,NOUN,,"ci partir en [NOUN] avec le [NOUN] "
1959,,NOUN,de bétail,NOUN,," [NOUN] de bétail [NOUN] "
1960,,NOUN,par de le,NOUN,de fromage," [NOUN] par de le [NOUN] de fromage"
1961,,NOUN,,ADJ,trouée," [NOUN]  [ADJ] trouée"
1962,façon familier en,ADJ,,ADJ,,"façon familier en [ADJ]  [ADJ] "
1963,mauvais,NOUN,de,NOUN,par exemple,mauvais [NOUN] de [NOUN] par exemple
1964,de kâak en,PROPN,en,PROPN,,"de kâak en [PROPN] en [PROPN] "
1965,,NOUN,,ADJ,afrikaner," [NOUN]  [ADJ] afrikaner"
1966,,NOUN,viticole de le,NOUN,de cap en," [NOUN] viticole de le [NOUN] de cap en"
1967,,NOUN,de,NOUN,partiellement," [NOUN] de [NOUN] partiellement"
1968,,ADJ,,NOUN,en afrikaans," [ADJ]  [NOUN] en afrikaans"
1969,place de,NOUN,de,NOUN,,"place de [NOUN] de [NOUN] "
1970,être souvent en,NOUN,de,NOUN,,"être souvent en [NOUN] de [NOUN] "
1971,,NOUN,aromatique comme le,NOUN,," [NOUN] aromatique comme le [NOUN] "
1972,,NOUN,,ADJ,traditionnel algérien," [NOUN]  [ADJ] traditionnel algérien"
1973,,NOUN,sucrer,ADJ,algérien," [NOUN] sucrer [ADJ] algérien"
1974,,ADJ,,NOUN,que," [ADJ]  [NOUN] que"
1975,,NOUN,de,PROPN,Marie-Barbara de Portugal," [NOUN] de [PROPN] Marie-Barbara de Portugal"
1976,rosquilla dun,NOUN,de,NOUN,,"rosquilla dun [NOUN] de [NOUN] "
1977,biscuit à,NOUN,,ADJ,en forme de,biscuit à [NOUN]  [ADJ] en forme de
1978,autre,NOUN,,ADJ,depuis 1850,autre [NOUN]  [ADJ] depuis 1850
1979,,NOUN,de,NOUN,catalan," [NOUN] de [NOUN] catalan"
1980,,ADJ,,NOUN,international," [ADJ]  [NOUN] international"
1981,nombreux,NOUN,,ADJ,,"nombreux [NOUN]  [ADJ] "
1982,de rousquille au,NOUN,de,NOUN,,"de rousquille au [NOUN] de [NOUN] "
1983,être de petit,NOUN,de,NOUN,sucrer,être de petit [NOUN] de [NOUN] sucrer
1984,,NOUN,au,NOUN,noir," [NOUN] au [NOUN] noir"
1985,,NOUN,blanc comme le,NOUN,," [NOUN] blanc comme le [NOUN] "
1986,raie au,NOUN,,ADJ,,"raie au [NOUN]  [ADJ] "
1987,feu doux jusquà,NOUN,de le,NOUN,,"feu doux jusquà [NOUN] de le [NOUN] "
1988,,NOUN,,NOUN,noisette," [NOUN]  [NOUN] noisette"
1989,,NOUN,de un,NOUN,au beurre noir," [NOUN] de un [NOUN] au beurre noir"
1990,comme de,NOUN,,ADJ,,"comme de [NOUN]  [ADJ] "
1991,recette de,NOUN,,ADJ,,"recette de [NOUN]  [ADJ] "
1992,œil pocher au,NOUN,,ADJ,,"œil pocher au [NOUN]  [ADJ] "
1993,sauce au,NOUN,,ADJ,dans lequel on,sauce au [NOUN]  [ADJ] dans lequel on
1994,deux,NOUN,par,NOUN,pendant cinq jour,deux [NOUN] par [NOUN] pendant cinq jour
1995,notamment lors de,NOUN,de,NOUN,ainsi,notamment lors de [NOUN] de [NOUN] ainsi
1996,Saint-Jean au,NOUN,de,NOUN,,"Saint-Jean au [NOUN] de [NOUN] "
1997,,NOUN,,NOUN,typiquement bolivien," [NOUN]  [NOUN] typiquement bolivien"
1998,grand,NOUN,en,NOUN,,"grand [NOUN] en [NOUN] "
1999,,NOUN,de,NOUN,avant," [NOUN] de [NOUN] avant"
2000,,NOUN,de,NOUN,épaissir," [NOUN] de [NOUN] épaissir"
2001,utiliser comme sauce,ADJ,,ADJ,,"utiliser comme sauce [ADJ]  [ADJ] "
2002,,NOUN,très,ADJ,à Noël," [NOUN] très [ADJ] à Noël"
2003,,NOUN,,ADJ,de peuple atchan," [NOUN]  [ADJ] de peuple atchan"
2004,un de,ADJ,,NOUN,touristique,un de [ADJ]  [NOUN] touristique
2005,un de premier,NOUN,,ADJ,,"un de premier [NOUN]  [ADJ] "
2006,pulpe de,NOUN,de,NOUN,,"pulpe de [NOUN] de [NOUN] "
2007,,NOUN,,ADJ,dont de persil," [NOUN]  [ADJ] dont de persil"
2008,tenant de,NOUN,de,NOUN,en robe de,tenant de [NOUN] de [NOUN] en robe de
2009,tenant de,NOUN,de,NOUN,,"tenant de [NOUN] de [NOUN] "
2010,,NOUN,,NOUN,de préférence bien," [NOUN]  [NOUN] de préférence bien"
2011,,NOUN,un,NOUN,," [NOUN] un [NOUN] "
2012,,NOUN,de le,NOUN,au lard pour," [NOUN] de le [NOUN] au lard pour"
2013,morceau de,NOUN,,ADJ,,"morceau de [NOUN]  [ADJ] "
2014,de pâte de,NOUN,en,PROPN,,"de pâte de [NOUN] en [PROPN] "
2015,,NOUN,de,NOUN,de riz garni," [NOUN] de [NOUN] de riz garni"
2016,soupe de,NOUN,de,NOUN,garni,soupe de [NOUN] de [NOUN] garni
2017,,ADJ,,NOUN,après," [ADJ]  [NOUN] après"
2018,,ADJ,,NOUN,vietnamien," [ADJ]  [NOUN] vietnamien"
2019,navet couper en,ADJ,,NOUN,,"navet couper en [ADJ]  [NOUN] "
2020,plat de,NOUN,de,NOUN,de porc,plat de [NOUN] de [NOUN] de porc
2021,de tranche de,NOUN,de,NOUN,,"de tranche de [NOUN] de [NOUN] "
2022,avec de,NOUN,de,NOUN,,"avec de [NOUN] de [NOUN] "
2023,,NOUN,de,NOUN,chaud dans," [NOUN] de [NOUN] chaud dans"
2024,louche de,NOUN,,ADJ,dans,louche de [NOUN]  [ADJ] dans
2025,,NOUN,de,NOUN,de pâte de," [NOUN] de [NOUN] de pâte de"
2026,de essence de,NOUN,de,NOUN,,"de essence de [NOUN] de [NOUN] "
2027,de rouleau de,NOUN,de riz,ADJ,,"de rouleau de [NOUN] de riz [ADJ] "
2028,,NOUN,de,NOUN,à chou," [NOUN] de [NOUN] à chou"
2029,,NOUN,de,NOUN,chiche," [NOUN] de [NOUN] chiche"
2030,graine de,NOUN,,ADJ,,"graine de [NOUN]  [ADJ] "
2031,,ADJ,,NOUN,typiquement autrichien pour," [ADJ]  [NOUN] typiquement autrichien pour"
2032,,NOUN,typique de le,NOUN,de Shaanxi," [NOUN] typique de le [NOUN] de Shaanxi"
2033,,NOUN,de,NOUN,musulman," [NOUN] de [NOUN] musulman"
2034,petit,NOUN,,ADJ,espagnol à œuf,petit [NOUN]  [ADJ] espagnol à œuf
2035,traditionnel espagnol à,NOUN,,NOUN,,"traditionnel espagnol à [NOUN]  [NOUN] "
2036,,NOUN,de Astorga,NOUN,de León," [NOUN] de Astorga [NOUN] de León"
2037,mantecada de autre,NOUN,,ADJ,,"mantecada de autre [NOUN]  [ADJ] "
2038,mantecada de,NOUN,,ADJ,,"mantecada de [NOUN]  [ADJ] "
2039,,NOUN,de un,NOUN,sur," [NOUN] de un [NOUN] sur"
2040,,NOUN,,ADJ,au Mexique," [NOUN]  [ADJ] au Mexique"
2041,autre,NOUN,de le,PROPN,latin,autre [NOUN] de le [PROPN] latin
2042,,NOUN,,ADJ,tunisien," [NOUN]  [ADJ] tunisien"
2043,,PROPN,de,NOUN,," [PROPN] de [NOUN] "
2044,de européen en,PROPN,de,NOUN,,"de européen en [PROPN] de [NOUN] "
2045,,NOUN,de,NOUN,à sucre," [NOUN] de [NOUN] à sucre"
2046,cassot de,NOUN,de,NOUN,,"cassot de [NOUN] de [NOUN] "
2047,de,NOUN,en,NOUN,y,de [NOUN] en [NOUN] y
2048,,NOUN,dun,NOUN,au moyen dune," [NOUN] dun [NOUN] au moyen dune"
2049,,NOUN,dun arbre au,NOUN,dune mèche," [NOUN] dun arbre au [NOUN] dune mèche"
2050,dun arbre au,NOUN,dune,NOUN,,"dun arbre au [NOUN] dune [NOUN] "
2051,,NOUN,,ADJ,de bouddhiste," [NOUN]  [ADJ] de bouddhiste"
2052,,NOUN,végétarien de le,NOUN,chinois," [NOUN] végétarien de le [NOUN] chinois"
2053,,ADJ,,NOUN,de nouveau an," [ADJ]  [NOUN] de nouveau an"
2054,premier,NOUN,de nouveau,NOUN,chinois comme,premier [NOUN] de nouveau [NOUN] chinois comme
2055,premier jour de,ADJ,,NOUN,chinois comme,premier jour de [ADJ]  [NOUN] chinois comme
2056,,NOUN,de,NOUN,à quarante écu," [NOUN] de [NOUN] à quarante écu"
2057,,NOUN,de,NOUN,de cèdre de," [NOUN] de [NOUN] de cèdre de"
2058,grand sélection de,NOUN,,PROPN,,"grand sélection de [NOUN]  [PROPN] "
2059,généralement exposer de,NOUN,à,NOUN,,"généralement exposer de [NOUN] à [NOUN] "
2060,,PROPN,février,NOUN,," [PROPN] février [NOUN] "
2061,,NOUN,de un,NOUN,de alcool," [NOUN] de un [NOUN] de alcool"
2062,,NOUN,de,NOUN,de Japon," [NOUN] de [NOUN] de Japon"
2063,,NOUN,de cèdre de,PROPN,," [NOUN] de cèdre de [PROPN] "
2064,,NOUN,de le,NOUN,lors de," [NOUN] de le [NOUN] lors de"
2065,de vieillissement en,NOUN,de,NOUN,,"de vieillissement en [NOUN] de [NOUN] "
2066,,NOUN,de,NOUN,pisco," [NOUN] de [NOUN] pisco"
2067,,ADJ,deux,NOUN,," [ADJ] deux [NOUN] "
2068,,ADJ,,NOUN,de exportation," [ADJ]  [NOUN] de exportation"
2069,,NOUN,y compris,ADJ,," [NOUN] y compris [ADJ] "
2070,,NOUN,de,NOUN,que il," [NOUN] de [NOUN] que il"
2071,,NOUN,chaud de,NOUN,côtier sec," [NOUN] chaud de [NOUN] côtier sec"
2072,oasis chaud de,NOUN,côtier,ADJ,,"oasis chaud de [NOUN] côtier [ADJ] "
2073,,NOUN,,NOUN,national de Pérou," [NOUN]  [NOUN] national de Pérou"
2074,,ADJ,dans le,NOUN,de Arequipa," [ADJ] dans le [NOUN] de Arequipa"
2075,,NOUN,de,NOUN,en février," [NOUN] de [NOUN] en février"
2076,,ADJ,,NOUN,de juillet," [ADJ]  [NOUN] de juillet"
2077,quatrième,NOUN,de,NOUN,,"quatrième [NOUN] de [NOUN] "
2078,premier,NOUN,de,NOUN,de février,premier [NOUN] de [NOUN] de février
2079,premier samedi de,NOUN,de,NOUN,,"premier samedi de [NOUN] de [NOUN] "
2080,à partir de,NOUN,de,PROPN,,"à partir de [NOUN] de [PROPN] "
2081,faire partie de,NOUN,,ADJ,de pays,faire partie de [NOUN]  [ADJ] de pays
2082,à partir de,ADJ,,NOUN,de muscat,à partir de [ADJ]  [NOUN] de muscat
2083,partir de divers,NOUN,de,NOUN,,"partir de divers [NOUN] de [NOUN] "
2084,,NOUN,,ADJ,à petit grain," [NOUN]  [ADJ] à petit grain"
2085,muscat rose à,ADJ,,NOUN,,"muscat rose à [ADJ]  [NOUN] "
2086,,NOUN,autrichien le,NOUN,de Alexandrie," [NOUN] autrichien le [NOUN] de Alexandrie"
2087,,NOUN,blanc,NOUN,de Hambourg," [NOUN] blanc [NOUN] de Hambourg"
2088,,NOUN,de grappe après,NOUN,de moût," [NOUN] de grappe après [NOUN] de moût"
2089,raisin être de,NOUN,à,NOUN,,"raisin être de [NOUN] à [NOUN] "
2090,,NOUN,existant de,NOUN,de pisco," [NOUN] existant de [NOUN] de pisco"
2091,,ADJ,,NOUN,entrer," [ADJ]  [NOUN] entrer"
2092,,NOUN,de,NOUN,en alcool," [NOUN] de [NOUN] en alcool"
2093,,NOUN,de raisin en,NOUN,," [NOUN] de raisin en [NOUN] "
2094,de espagnol au,ADJ,,NOUN,,"de espagnol au [ADJ]  [NOUN] "
2095,,NOUN,,ADJ,de Pisco se," [NOUN]  [ADJ] de Pisco se"
2096,,NOUN,,PROPN,n 1065/2013 de," [NOUN]  [PROPN] n 1065/2013 de"
2097,il provenir de,NOUN,britannique,ADJ,,"il provenir de [NOUN] britannique [ADJ] "
2098,signifier,NOUN,en,NOUN,,"signifier [NOUN] en [NOUN] "
2099,,NOUN,de,NOUN,Hasselback," [NOUN] de [NOUN] Hasselback"
2100,recette de,NOUN,de,NOUN,,"recette de [NOUN] de [NOUN] "
2101,être couper en,NOUN,,ADJ,environ jusque à,être couper en [NOUN]  [ADJ] environ jusque à
2102,dessus de,NOUN,de,NOUN,lors de,dessus de [NOUN] de [NOUN] lors de
2103,formation pour devenir,NOUN,de,NOUN,au,formation pour devenir [NOUN] de [NOUN] au
2104,,NOUN,de,PROPN,à Stockholm," [NOUN] de [PROPN] à Stockholm"
2105,recette de,NOUN,de,NOUN,frite au four,recette de [NOUN] de [NOUN] frite au four
2106,,NOUN,de,NOUN,de princesse," [NOUN] de [NOUN] de princesse"
2107,,NOUN,de le,PROPN,oriental," [NOUN] de le [PROPN] oriental"
2108,,NOUN,manuel à le,NOUN,mécanique," [NOUN] manuel à le [NOUN] mécanique"
2109,,NOUN,en,NOUN,collectif," [NOUN] en [NOUN] collectif"
2110,,ADJ,,NOUN,également," [ADJ]  [NOUN] également"
2111,,NOUN,,ADJ,de chiffre daffaire," [NOUN]  [ADJ] de chiffre daffaire"
2112,,NOUN,de,NOUN,de lentreprise en," [NOUN] de [NOUN] de lentreprise en"
2113,,NOUN,de,NOUN,Argos," [NOUN] de [NOUN] Argos"
2114,,NOUN,de,NOUN,suisse WM15 Holding," [NOUN] de [NOUN] suisse WM15 Holding"
2115,,NOUN,au,NOUN,suisse," [NOUN] au [NOUN] suisse"
2116,enrobage au,NOUN,,ADJ,,"enrobage au [NOUN]  [ADJ] "
2117,,NOUN,de,NOUN,de fabricant," [NOUN] de [NOUN] de fabricant"
2118,dernier,NOUN,de,NOUN,français gaufrette,dernier [NOUN] de [NOUN] français gaufrette
2119,dernier syllabe de,NOUN,,ADJ,gaufrette,dernier syllabe de [NOUN]  [ADJ] gaufrette
2120,seul,NOUN,au,NOUN,très large,seul [NOUN] au [NOUN] très large
2121,tout,NOUN,de,NOUN,au lait,tout [NOUN] de [NOUN] au lait
2122,,NOUN,en,NOUN,de vague de," [NOUN] en [NOUN] de vague de"
2123,structure en,NOUN,de,NOUN,de lenrobage au,structure en [NOUN] de [NOUN] de lenrobage au
2124,comme,NOUN,,ADJ,,"comme [NOUN]  [ADJ] "
2125,type de,NOUN,de,NOUN,,"type de [NOUN] de [NOUN] "
2126,généralement consommer au,ADJ,,NOUN,,"généralement consommer au [ADJ]  [NOUN] "
2127,,NOUN,en,NOUN,garni de feuille," [NOUN] en [NOUN] garni de feuille"
2128,manière incorrect par,NOUN,de,NOUN,,"manière incorrect par [NOUN] de [NOUN] "
2129,,ADJ,,NOUN,propre à Philippines," [ADJ]  [NOUN] propre à Philippines"
2130,aide de,NOUN,en,NOUN,avant de,aide de [NOUN] en [NOUN] avant de
2131,acide caractéristique de,NOUN,de,NOUN,traditionnel philippin,acide caractéristique de [NOUN] de [NOUN] traditionnel philippin
2132,autre,NOUN,de,NOUN,comme,autre [NOUN] de [NOUN] comme
2133,plat à,NOUN,,ADJ,,"plat à [NOUN]  [ADJ] "
2134,,PROPN,oriental le,NOUN,," [PROPN] oriental le [NOUN] "
2135,,ADJ,,NOUN,de base austronésien," [ADJ]  [NOUN] de base austronésien"
2136,de fenêtre en,NOUN,de,NOUN,,"de fenêtre en [NOUN] de [NOUN] "
2137,,NOUN,,ADJ,de Noël à," [NOUN]  [ADJ] de Noël à"
2138,le mangent au,ADJ,,NOUN,,"le mangent au [ADJ]  [NOUN] "
2139,gamme de,NOUN,,ADJ,,"gamme de [NOUN]  [ADJ] "
2140,bille recouvrir de,NOUN,,ADJ,pour,bille recouvrir de [NOUN]  [ADJ] pour
2141,,NOUN,,ADJ,lors de," [NOUN]  [ADJ] lors de"
2142,,NOUN,de,NOUN,2000 par," [NOUN] de [NOUN] 2000 par"
2143,,NOUN,de ce,NOUN,par," [NOUN] de ce [NOUN] par"
2144,,PROPN,,PROPN,Verquin," [PROPN]  [PROPN] Verquin"
2145,,NOUN,sou le,NOUN,de Head Bangers," [NOUN] sou le [NOUN] de Head Bangers"
2146,boulette de,NOUN,,ADJ,,"boulette de [NOUN]  [ADJ] "
2147,,ADJ,identitaire de le,NOUN,ashkénaze de Europe," [ADJ] identitaire de le [NOUN] ashkénaze de Europe"
2148,cuisine,PROPN,de,PROPN,de,cuisine [PROPN] de [PROPN] de
2149,,ADJ,,NOUN,de garniture," [ADJ]  [NOUN] de garniture"
2150,sachet de,NOUN,,ADJ,,"sachet de [NOUN]  [ADJ] "
2151,de,NOUN,,NOUN,de préférence,de [NOUN]  [NOUN] de préférence
2152,,NOUN,de,NOUN,frais qui," [NOUN] de [NOUN] frais qui"
2153,,NOUN,de,NOUN,de Spundekäs se," [NOUN] de [NOUN] de Spundekäs se"
2154,composer toujours de,NOUN,,ADJ,,"composer toujours de [NOUN]  [ADJ] "
2155,allier excellemment au,NOUN,,ADJ,,"allier excellemment au [NOUN]  [ADJ] "
2156,,NOUN,de maa,NOUN,," [NOUN] de maa [NOUN] "
2157,plupart de,NOUN,en,NOUN,de,plupart de [NOUN] en [NOUN] de
2158,de plat en,NOUN,de le,NOUN,éthiopien,de plat en [NOUN] de le [NOUN] éthiopien
2159,,NOUN,de,NOUN,le," [NOUN] de [NOUN] le"
2160,le rattacher au,NOUN,,ADJ,barbare,le rattacher au [NOUN]  [ADJ] barbare
2161,fabrication de,NOUN,de,PROPN,,"fabrication de [NOUN] de [PROPN] "
2162,,NOUN,de,NOUN,dans lequel," [NOUN] de [NOUN] dans lequel"
2163,,NOUN,à le,PROPN,," [NOUN] à le [PROPN] "
2164,blanc au,NOUN,de,PROPN,,"blanc au [NOUN] de [PROPN] "
2165,,NOUN,de origan de,PROPN,," [NOUN] de origan de [PROPN] "
2166,,NOUN,,ADJ,de Linz en," [NOUN]  [ADJ] de Linz en"
2167,de,NOUN,en,PROPN,,"de [NOUN] en [PROPN] "
2168,recette de,NOUN,,NOUN,35/31 de 1653,recette de [NOUN]  [NOUN] 35/31 de 1653
2169,à labbaye de,PROPN,en,PROPN,,"à labbaye de [PROPN] en [PROPN] "
2170,série de 4,NOUN,de,NOUN,de cuisine de,série de 4 [NOUN] de [NOUN] de cuisine de
2171,4 recette de,NOUN,de,NOUN,de,4 recette de [NOUN] de [NOUN] de
2172,également parfois de,NOUN,de,NOUN,,"également parfois de [NOUN] de [NOUN] "
2173,de,NOUN,,PROPN,,"de [NOUN]  [PROPN] "
2174,saupoudrer de,NOUN,,NOUN,,"saupoudrer de [NOUN]  [NOUN] "
2175,Linzer Torte de,NOUN,,ADJ,Ludwig Schmidseder,Linzer Torte de [NOUN]  [ADJ] Ludwig Schmidseder
2176,au,NOUN,,ADJ,de linz(de,au [NOUN]  [ADJ] de linz(de
2177,,NOUN,de,NOUN,de Linz," [NOUN] de [NOUN] de Linz"
2178,,NOUN,de,NOUN,de cuisine qui," [NOUN] de [NOUN] de cuisine qui"
2179,collection de,NOUN,de,NOUN,qui,collection de [NOUN] de [NOUN] qui
2180,de registre de,NOUN,,ADJ,,"de registre de [NOUN]  [ADJ] "
2181,,NOUN,de le,NOUN,tropical de," [NOUN] de le [NOUN] tropical de"
2182,différent,NOUN,extraire de le,NOUN,,"différent [NOUN] extraire de le [NOUN] "
2183,,ADJ,,NOUN,au Kamerun," [ADJ]  [NOUN] au Kamerun"
2184,,NOUN,de,NOUN,à feuillage persistant," [NOUN] de [NOUN] à feuillage persistant"
2185,,NOUN,de sous-bois à,NOUN,persistant," [NOUN] de sous-bois à [NOUN] persistant"
2186,fleur être de,NOUN,,NOUN,,"fleur être de [NOUN]  [NOUN] "
2187,mélanger avec de,NOUN,,ADJ,,"mélanger avec de [NOUN]  [ADJ] "
2188,,NOUN,de le,NOUN,de Idemili," [NOUN] de le [NOUN] de Idemili"
2189,,NOUN,,ADJ,de feuille de," [NOUN]  [ADJ] de feuille de"
2190,usage médicinal de,NOUN,de le,NOUN,,"usage médicinal de [NOUN] de le [NOUN] "
2191,,NOUN,de feuille comme,NOUN,contre," [NOUN] de feuille comme [NOUN] contre"
2192,lui servir de,NOUN,contre le,NOUN,intestinal,lui servir de [NOUN] contre le [NOUN] intestinal
2193,,NOUN,de,NOUN,curatif," [NOUN] de [NOUN] curatif"
2194,,ADJ,,NOUN,quant," [ADJ]  [NOUN] quant"
2195,bon,NOUN,quant aux,NOUN,hypoglycémique,bon [NOUN] quant aux [NOUN] hypoglycémique
2196,point de nouveau,NOUN,,ADJ,,"point de nouveau [NOUN]  [ADJ] "
2197,essai de,NOUN,linguistique de,PROPN,,"essai de [NOUN] linguistique de [PROPN] "
2198,véritable,NOUN,,ADJ,IGP,véritable [NOUN]  [ADJ] IGP
2199,véritable,NOUN,vaudois,PROPN,,"véritable [NOUN] vaudois [PROPN] "
2200,,NOUN,,ADJ,de charcuterie vaudois," [NOUN]  [ADJ] de charcuterie vaudois"
2201,composer de,NOUN,allongé de,NOUN,,"composer de [NOUN] allongé de [NOUN] "
2202,parfois adouci au,NOUN,de,NOUN,,"parfois adouci au [NOUN] de [NOUN] "
2203,amphore de très,ADJ,,NOUN,,"amphore de très [ADJ]  [NOUN] "
2204,,PROPN,un,NOUN,encore plus misérable," [PROPN] un [NOUN] encore plus misérable"
2205,boisson au,NOUN,agréablement,ADJ,,"boisson au [NOUN] agréablement [ADJ] "
2206,,NOUN,légèrement,ADJ,," [NOUN] légèrement [ADJ] "
2207,recette de,NOUN,de le,NOUN,hawaïen,recette de [NOUN] de le [NOUN] hawaïen
2208,de divers,NOUN,sucrer,ADJ,,"de divers [NOUN] sucrer [ADJ] "
2209,,NOUN,californien ce,NOUN,de salade," [NOUN] californien ce [NOUN] de salade"
2210,mélange de,NOUN,sucrer,ADJ,tel,mélange de [NOUN] sucrer [ADJ] tel
2211,,NOUN,de le,NOUN,par," [NOUN] de le [NOUN] par"
2212,,NOUN,de,NOUN,représentant," [NOUN] de [NOUN] représentant"
2213,au cours de,NOUN,,ADJ,,"au cours de [NOUN]  [ADJ] "
2214,,NOUN,de,NOUN,bon marché," [NOUN] de [NOUN] bon marché"
2215,,NOUN,méridional de,NOUN,près de frontière," [NOUN] méridional de [NOUN] près de frontière"
2216,pays près de,NOUN,de le,PROPN,,"pays près de [NOUN] de le [PROPN] "
2217,,NOUN,,PROPN,à," [NOUN]  [PROPN] à"
2218,700 à 1000,NOUN,le,NOUN,de,700 à 1000 [NOUN] le [NOUN] de
2219,quarante variété de,NOUN,de,NOUN,,"quarante variété de [NOUN] de [NOUN] "
2220,,NOUN,rouge,ADJ,," [NOUN] rouge [ADJ] "
2221,,NOUN,de,NOUN,australien," [NOUN] de [NOUN] australien"
2222,à 850,NOUN,de,NOUN,,"à 850 [NOUN] de [NOUN] "
2223,,NOUN,,ADJ,à Sarkand," [NOUN]  [ADJ] à Sarkand"
2224,,NOUN,de le,NOUN,de rue," [NOUN] de le [NOUN] de rue"
2225,en hiver en,PROPN,de le,NOUN,,"en hiver en [PROPN] de le [NOUN] "
2226,également populaire en,PROPN,de,NOUN,,"également populaire en [PROPN] de [NOUN] "
2227,,NOUN,similaire de le,NOUN,de rue," [NOUN] similaire de le [NOUN] de rue"
2228,nord de,PROPN,en,NOUN,,"nord de [PROPN] en [NOUN] "
2229,équivalent en,ADJ,,ADJ,,"équivalent en [ADJ]  [ADJ] "
2230,composer de treize,NOUN,de,NOUN,,"composer de treize [NOUN] de [NOUN] "
2231,,NOUN,renommer pour son,NOUN,de olive," [NOUN] renommer pour son [NOUN] de olive"
2232,,NOUN,,ADJ,incolore," [NOUN]  [ADJ] incolore"
2233,,NOUN,alcoolisé,ADJ,," [NOUN] alcoolisé [ADJ] "
2234,par distillation de,NOUN,de,NOUN,,"par distillation de [NOUN] de [NOUN] "
2235,production de,NOUN,en,PROPN,,"production de [NOUN] en [PROPN] "
2236,,NOUN,de,NOUN,éthiopien," [NOUN] de [NOUN] éthiopien"
2237,,ADJ,,NOUN,Denise," [ADJ]  [NOUN] Denise"
2238,,NOUN,mou,ADJ,au chocolat," [NOUN] mou [ADJ] au chocolat"
2239,,NOUN,rond en,NOUN,," [NOUN] rond en [NOUN] "
2240,autre,NOUN,de,PROPN,,"autre [NOUN] de [PROPN] "
2241,faire partie de,NOUN,,ADJ,de personnage principal,faire partie de [NOUN]  [ADJ] de personnage principal
2242,répertoire culinaire de,NOUN,,ADJ,,"répertoire culinaire de [NOUN]  [ADJ] "
2243,,NOUN,énergétique,ADJ,pour," [NOUN] énergétique [ADJ] pour"
2244,,NOUN,de,NOUN,dont," [NOUN] de [NOUN] dont"
2245,,NOUN,de,NOUN,frite," [NOUN] de [NOUN] frite"
2246,,NOUN,très,ADJ,dans," [NOUN] très [ADJ] dans"
2247,vendeur en,NOUN,de,NOUN,,"vendeur en [NOUN] de [NOUN] "
2248,surtout consommer au,ADJ,,NOUN,,"surtout consommer au [ADJ]  [NOUN] "
2249,mets français de,NOUN,,ADJ,,"mets français de [NOUN]  [ADJ] "
2250,russe composer de,NOUN,de,NOUN,,"russe composer de [NOUN] de [NOUN] "
